press_mention_id,artist_id,outlet_name,article_title,author,publication_date,url,mention_count,sentiment_score,source_url,confidence_score,notes
press_artist_kaye_donachie_i_ve_never_worked_with_anyone_alive_before_erdem_on_his_first_ever_artist_collaboration_for_aw25_23_02_2025_19,artist_kaye_donachie,Vogue,"""I've Never Worked With Anyone Alive Before"": Erdem On HIs First Ever Artist Collaboration For AW25",Emily Chan,2025-02-23,https://www.vogue.co.uk/article/erdem-aw25,1,0.8,https://www.vogue.co.uk/article/erdem-aw25,1,
press_artist_kaye_donachie_10_portrait_painters_today_you_need_to_know_23_10_2024_20,artist_kaye_donachie,Contemporary Art Issue,10 Portrait Painters Today You Need To Know,Julian Delagrange,2024-10-23,https://www.contemporaryartissue.com/10-portrait-painters-today-you-need-to-know/,1,0.8,https://www.contemporaryartissue.com/10-portrait-painters-today-you-need-to-know/,1,
press_artist_kaye_donachie_kaye_donachie_maureen_paley_01_08_2024_21,artist_kaye_donachie,Artforum,"Kaye Donachie, Maureen Paley",Andrew Hunt,2024-08-01,https://www.artforum.com/events/andrew-hunt-kaye-donachie-maureen-paley-2024-554844/,1,0.7,https://www.artforum.com/events/andrew-hunt-kaye-donachie-maureen-paley-2024-554844/,1,
press_artist_pavlo_kerestey_did_a_group_of_artist_eerily_predict_the_ukrainian_crisis_16_10_2014_28,artist_pavlo_kerestey,CNN,Did a group of artist eerily predict the Ukrainian crisis?,Jake Wallis Simons,2014-10-16,https://edition.cnn.com/2014/10/16/world/did-group-of-artists-predict-ukrainian-crisis,1,0.7,https://edition.cnn.com/2014/10/16/world/did-group-of-artists-predict-ukrainian-crisis,1,
press_artist_nikita_kadan_nikita_kadan_questions_whether_the_war_ever_ends_30_04_2026_34,artist_nikita_kadan,Frieze,Nikita Kadan Questions Whether The War Ever Ends,Amina Ahmed,2026-04-30,https://www.frieze.com/article/nikita-kadan-a-new-integrity-2026-review,5,0.7,https://www.frieze.com/article/nikita-kadan-a-new-integrity-2026-review,1,
press_artist_nikita_kadan_how_to_be_a_wartime_artist_28_07_2025_35,artist_nikita_kadan,ArtReview,How to be a Wartime Artist,Oliver Basciano,2025-07-28,https://artreview.com/mikita-kadanhow-to-be-a-wartime-artist-interview-oliver-basciano/,5,0.6,https://artreview.com/mikita-kadanhow-to-be-a-wartime-artist-interview-oliver-basciano/,1,
press_artist_zhanna_kadyrova_dangling_sculpture_evacuated_from_russian_ukrainian_frontline_will_be_focus_of_ukraine_s_pavilion_at_venice_biennale_2026_02_09_43,artist_zhanna_kadyrova,The Art Newspaper,Dangling sculpture—‘evacuated’ from Russian-Ukrainian frontline—will be focus of Ukraine's pavilion at Venice Biennale,Ron Sharp,2026-02-09,https://www.theartnewspaper.com/2026/02/09/dangling-sculptureevacuated-from-russian-frontlinewill-be-focus-of-ukraines-pavilion-at-venice-biennale,4,0.7,https://www.theartnewspaper.com/2026/02/09/dangling-sculptureevacuated-from-russian-frontlinewill-be-focus-of-ukraines-pavilion-at-venice-biennale,1.00,
press_artist_zhanna_kadyrova_the_ukrainian_pavilion_s_deer_seen_around_the_world_2026_05_13_44,artist_zhanna_kadyrova,Hyperallergic,The Ukrainian Pavilion’s Deer Seen Around the World,Gregory Volk,2026-05-13,https://hyperallergic.com/the-ukrainian-pavilions-deer-seen-around-the-world/,4,0.6,https://hyperallergic.com/the-ukrainian-pavilions-deer-seen-around-the-world/,1.00,
press_artist_wolfgang_tillmans_wolfgang_tillmans_at_the_pompidou_is_the_best_show_of_his_career_2025_07_19_51,artist_wolfgang_tillmans,Financial Times,Wolfgang Tillmans at the Pompidou is the best show of his career,Jackie Wullschläger,2025-07-19,https://www.ft.com/content/5398d3bf-8ff9-4271-b726-fccff22b9102,5,0.9,https://www.ft.com/content/5398d3bf-8ff9-4271-b726-fccff22b9102,1.00,
press_artist_wolfgang_tillmans_blue_monday_is_one_of_the_20th_century_s_greatest_artworks_wolfgang_tillmans_on_swapping_his_camera_for_a_microphone_2024_04_04_52,artist_wolfgang_tillmans,The Guardian,‘Blue Monday is one of the 20th century’s greatest artworks’: Wolfgang Tillmans on swapping his camera for a microphone,Alexis Petridis,2024-04-04,https://www.theguardian.com/artanddesign/2024/apr/04/wolfgang-tillmans-build-from-here-interview,5,0.8,https://www.theguardian.com/artanddesign/2024/apr/04/wolfgang-tillmans-build-from-here-interview,1.00,
