relationship_id,source_node_id,source_node_type,target_node_id,target_node_type,relationship_type,relationship_date,start_date,end_date,source_url,confidence_score,notes
rel_gallery_maureen_paley_artist_kaye_donachie_represents_0,gallery_maureen_paley,gallery,artist_kaye_donachie,artist,represents,1900-01-01,1900-01-01,,https://www.maureenpaley.com/about,1,
rel_artist_kaye_donachie_gallery_maureen_paley_gallery_exhibition_13,artist_kaye_donachie,artist,gallery_maureen_paley,gallery,gallery_exhibition,2024-02-22,2024-02-22,,https://www.maureenpaley.com/exhibitions/kaye-donachie-I-kept-the-memory-for-myself,1,
rel_gallery_voloshyn_gallery_artist_pavlo_kerestey_represents_15,gallery_voloshyn_gallery,gallery,artist_pavlo_kerestey,artist,represents,1900-01-01,1900-01-01,,https://voloshyngallery.art/contact/,1,
rel_artist_kaye_donachie_gallery_lismore_castle_gallery_exhibition_17,artist_kaye_donachie,artist,gallery_lismore_castle,gallery,gallery_exhibition,2021-08-28,2021-08-28,,https://lismorecastlearts.ie/whats-on/kaye-donachie,1,
rel_artist_kaye_donachie_gallery_yuka_tsuruno_gallery_gallery_exhibition_18,artist_kaye_donachie,artist,gallery_yuka_tsuruno_gallery,gallery,gallery_exhibition,2019-10-19,2019-10-19,,https://yukatsuruno.com/gallery/exhibitions/kayedonachie,1,
rel_artist_pavlo_kerestey_gallery_voloshyn_gallery_gallery_exhibition_25,artist_pavlo_kerestey,artist,gallery_voloshyn_gallery,gallery,gallery_exhibition,2025-09-25,2025-09-25,,https://voloshyngallery.art/exhibitions/96-proxies/,1,
rel_artist_pavlo_kerestey_gallery_voloshyn_gallery_gallery_exhibition_26,artist_pavlo_kerestey,artist,gallery_voloshyn_gallery,gallery,gallery_exhibition,2024-08-03,2024-08-03,,https://voloshyngallery.art/exhibitions/83-sentience/,1,
rel_artist_pavlo_kerestey_gallery_voloshyn_gallery_gallery_exhibition_27,artist_pavlo_kerestey,artist,gallery_voloshyn_gallery,gallery,gallery_exhibition,2022-04-24,2022-04-24,,https://voloshyngallery.art/exhibitions/26-she-asked-i-followed.-her-name-is-after/,1,
rel_gallery_voloshyn_gallery_artist_nikita_kadan_represents_29,gallery_voloshyn_gallery,gallery,artist_nikita_kadan,artist,represents,1900-01-01,1900-01-01,,https://voloshyngallery.art/contact/,1,
rel_artist_nikita_kadan_gallery_voloshyn_gallery_gallery_exhibition_30,artist_nikita_kadan,artist,gallery_voloshyn_gallery,gallery,gallery_exhibition,2026-01-17,2026-01-17,,https://voloshyngallery.art/exhibitions/101-whos-there-old-question-whos-here/,1,
rel_artist_nikita_kadan_gallery_voloshyn_gallery_gallery_exhibition_31,artist_nikita_kadan,artist,gallery_voloshyn_gallery,gallery,gallery_exhibition,2025-03-07,2025-03-07,,https://voloshyngallery.art/exhibitions/91-tryvoha/,1,
rel_artist_nikita_kadan_gallery_voloshyn_gallery_gallery_exhibition_32,artist_nikita_kadan,artist,gallery_voloshyn_gallery,gallery,gallery_exhibition,2024-12-01,2024-12-01,,https://voloshyngallery.art/exhibitions/88-the-radial-bone/,1,
rel_artist_nikita_kadan_gallery_voloshyn_gallery_gallery_exhibition_33,artist_nikita_kadan,artist,gallery_voloshyn_gallery,gallery,gallery_exhibition,2024-10-12,2024-10-12,,https://voloshyngallery.art/exhibitions/86-avert-your-eyes/,1,
rel_gallery_galleria_continua_artist_zhanna_kadyrova_represents_36,gallery_galleria_continua,gallery,artist_zhanna_kadyrova,artist,represents,1900-01-01,1900-01-01,,https://www.galleriacontinua.com/about,1,
rel_artist_zhanna_kadyrova_gallery_galleria_continua_gallery_exhibition_37,artist_zhanna_kadyrova,artist,gallery_galleria_continua,gallery,gallery_exhibition,2026-01-24,2026-01-24,,https://www.galleriacontinua.com/artists/zhanna-kadyrova-38/exhibitions,1.00,
rel_artist_zhanna_kadyrova_gallery_galleria_continua_gallery_exhibition_38,artist_zhanna_kadyrova,artist,gallery_galleria_continua,gallery,gallery_exhibition,2026-01-22,2026-01-22,,https://www.galleriacontinua.com/exhibitions/fragments-de-ville-522,1.00,
rel_artist_zhanna_kadyrova_gallery_galleria_continua_gallery_exhibition_39,artist_zhanna_kadyrova,artist,gallery_galleria_continua,gallery,gallery_exhibition,2025-09-06,2025-09-06,,https://www.galleriacontinua.com/exhibitions/objets-trouves-504,1.00,
rel_artist_zhanna_kadyrova_gallery_galleria_continua_gallery_exhibition_40,artist_zhanna_kadyrova,artist,gallery_galleria_continua,gallery,gallery_exhibition,2025-03-28,2025-03-28,,https://www.galleriacontinua.com/exhibitions/strategic-locations-490,1.00,
rel_artist_zhanna_kadyrova_museum_la_biennale_di_venezia_museum_exhibition_42,artist_zhanna_kadyrova,artist,museum_la_biennale_di_venezia,museum,museum_exhibition,2026-05-09,2026-05-09,,https://www.labiennale.org/en/art/2026/ukraine,1.00,
rel_gallery_maureen_paley_artist_wolfgang_tillmans_represents_45,gallery_maureen_paley,gallery,artist_wolfgang_tillmans,artist,represents,1900-01-01,1900-01-01,,https://www.maureenpaley.com/artists/wolfgang-tillmans/biography,1.00,
rel_gallery_david_zwirner_artist_wolfgang_tillmans_represents_46,gallery_david_zwirner,gallery,artist_wolfgang_tillmans,artist,represents,1900-01-01,1900-01-01,,https://www.davidzwirner.com/artists/wolfgang-tillmans,1.00,
rel_artist_wolfgang_tillmans_gallery_david_zwirner_gallery_exhibition_47,artist_wolfgang_tillmans,artist,gallery_david_zwirner,gallery,gallery_exhibition,2023-09-07,2023-09-07,,https://www.davidzwirner.com/exhibitions/2023/wolfgang-tillmans-fold-me,1.00,
rel_artist_wolfgang_tillmans_gallery_david_zwirner_gallery_exhibition_48,artist_wolfgang_tillmans,artist,gallery_david_zwirner,gallery,gallery_exhibition,2024-03-25,2024-03-25,,https://www.davidzwirner.com/exhibitions/2024/wolfgang-tillmans-the-point-is-matter,1.00,
rel_artist_wolfgang_tillmans_gallery_maureen_paley_gallery_exhibition_49,artist_wolfgang_tillmans,artist,gallery_maureen_paley,gallery,gallery_exhibition,2025-10-03,2025-10-03,,https://www.maureenpaley.com/exhibitions/wolfgang-tillmans-build-from-here,1.00,
rel_artist_wolfgang_tillmans_gallery_maureen_paley_gallery_exhibition_50,artist_wolfgang_tillmans,artist,gallery_maureen_paley,gallery,gallery_exhibition,2021-06-30,2021-06-30,,https://www.maureenpaley.com/exhibitions/wolfgang-tillmans-10,1.00,
