prediction_date,model,model_type,train_rows,test_rows,roc_auc,precision_at_k,recall_at_k,average_precision
2018-01-01,gallery_prestige_baseline,baseline,8,8,,0.0,0.0,
2018-01-01,museum_count_baseline,baseline,8,8,,0.0,0.0,
2018-01-01,random_baseline,baseline,8,8,,0.0,0.0,
2018-01-01,simple_weighted_score_baseline,baseline,8,8,,0.0,0.0,
2019-01-01,gallery_prestige_baseline,baseline,16,8,,0.0,0.0,
2019-01-01,museum_count_baseline,baseline,16,8,,0.0,0.0,
2019-01-01,random_baseline,baseline,16,8,,0.0,0.0,
2019-01-01,simple_weighted_score_baseline,baseline,16,8,,0.0,0.0,
2020-01-01,gallery_prestige_baseline,baseline,24,8,0.2857142857142857,0.2,1.0,0.125
2020-01-01,museum_count_baseline,baseline,24,8,0.5,0.2,1.0,0.125
2020-01-01,random_baseline,baseline,24,8,0.2857142857142857,0.0,0.0,0.16666666666666666
2020-01-01,simple_weighted_score_baseline,baseline,24,8,0.2857142857142857,0.2,1.0,0.125
2021-01-01,gallery_prestige_baseline,baseline,32,8,0.7916666666666666,0.4,1.0,0.7
2021-01-01,gradient_boosting,graph_model,32,8,0.5,0.4,1.0,0.25
2021-01-01,logistic_regression,graph_model,32,8,0.0,0.0,0.0,0.19642857142857142
2021-01-01,museum_count_baseline,baseline,32,8,0.4166666666666667,0.4,1.0,0.25
2021-01-01,random_baseline,baseline,32,8,0.4166666666666667,0.2,0.5,0.29166666666666663
2021-01-01,random_forest,graph_model,32,8,0.5,0.4,1.0,0.25
2021-01-01,simple_weighted_score_baseline,baseline,32,8,0.5833333333333334,0.4,1.0,0.3666666666666667
2022-01-01,gallery_prestige_baseline,baseline,40,8,0.4666666666666667,0.4,0.6666666666666666,0.5694444444444444
2022-01-01,gradient_boosting,graph_model,40,8,0.7666666666666666,0.6,1.0,0.7
2022-01-01,logistic_regression,graph_model,40,8,0.7333333333333333,0.4,0.6666666666666666,0.7222222222222223
2022-01-01,museum_count_baseline,baseline,40,8,0.4666666666666666,0.4,0.6666666666666666,0.5833333333333333
2022-01-01,random_baseline,baseline,40,8,0.4,0.4,0.6666666666666666,0.38333333333333336
2022-01-01,random_forest,graph_model,40,8,1.0,0.6,1.0,1.0
2022-01-01,simple_weighted_score_baseline,baseline,40,8,0.7333333333333333,0.4,0.6666666666666666,0.8095238095238095
2023-01-01,gallery_prestige_baseline,baseline,48,8,1.0,0.4,1.0,1.0
2023-01-01,gradient_boosting,graph_model,48,8,0.9166666666666666,0.4,1.0,0.8333333333333333
2023-01-01,logistic_regression,graph_model,48,8,0.16666666666666663,0.0,0.0,0.22619047619047616
2023-01-01,museum_count_baseline,baseline,48,8,0.45833333333333326,0.2,0.5,0.375
2023-01-01,random_baseline,baseline,48,8,0.5,0.4,1.0,0.325
2023-01-01,random_forest,graph_model,48,8,1.0,0.4,1.0,1.0
2023-01-01,simple_weighted_score_baseline,baseline,48,8,0.8333333333333334,0.4,1.0,0.5833333333333333
